2020-05-10 20:20:02 status unpacked libselinux1:armhf 3.0-1build2
2020-05-10 20:20:03 install libsemanage-common:all <none> 3.0-1build2
2020-05-10 20:20:03 status half-installed libsemanage-common:all 3.0-1build2
2020-05-10 20:20:03 status unpacked libsemanage-common:all 3.0-1build2
2020-05-10 20:20:03 install libsemanage1:armhf <none> 3.0-1build2
2020-05-10 20:20:03 status half-installed libsemanage1:armhf 3.0-1build2
2020-05-10 20:20:03 status unpacked libsemanage1:armhf 3.0-1build2
2020-05-10 20:20:03 install libsepol1:armhf <none> 3.0-1
2020-05-10 20:20:03 status half-installed libsepol1:armhf 3.0-1
2020-05-10 20:20:03 status unpacked libsepol1:armhf 3.0-1
2020-05-10 20:20:03 install libsmartcols1:armhf <none> 2.34-0.1ubuntu9
2020-05-10 20:20:03 status half-installed libsmartcols1:armhf 2.34-0.1ubuntu9
2020-05-10 20:20:03 status unpacked libsmartcols1:armhf 2.34-0.1ubuntu9
2020-05-10 20:20:03 install libss2:armhf <none> 1.45.5-2ubuntu1
2020-05-10 20:20:03 status half-installed libss2:armhf 1.45.5-2ubuntu1
2020-05-10 20:20:03 status unpacked libss2:armhf 1.45.5-2ubuntu1
2020-05-10 20:20:03 install libsystemd0:armhf <none> 245.4-4ubuntu3
2020-05-10 20:20:03 status half-installed libsystemd0:armhf 245.4-4ubuntu3
2020-05-10 20:20:03 status unpacked libsystemd0:armhf 245.4-4ubuntu3
2020-05-10 20:20:03 install libtinfo6:armhf <none> 6.2-0ubuntu2
2020-05-10 20:20:03 status half-installed libtinfo6:armhf 6.2-0ubuntu2
2020-05-10 20:20:03 status unpacked libtinfo6:armhf 6.2-0ubuntu2
2020-05-10 20:20:03 install libudev1:armhf <none> 245.4-4ubuntu3
2020-05-10 20:20:03 status half-installed libudev1:armhf 245.4-4ubuntu3
2020-05-10 20:20:03 status unpacked libudev1:armhf 245.4-4ubuntu3
2020-05-10 20:20:03 install libuuid1:armhf <none> 2.34-0.1ubuntu9
2020-05-10 20:20:03 status half-installed libuuid1:armhf 2.34-0.1ubuntu9
2020-05-10 20:20:03 status unpacked libuuid1:armhf 2.34-0.1ubuntu9
2020-05-10 20:20:03 install libzstd1:armhf <none> 1.4.4+dfsg-3
2020-05-10 20:20:03 status half-installed libzstd1:armhf 1.4.4+dfsg-3
2020-05-10 20:20:03 status unpacked libzstd1:armhf 1.4.4+dfsg-3
2020-05-10 20:20:03 install login:armhf <none> 1:4.8.1-1ubuntu5
2020-05-10 20:20:03 status half-installed login:armhf 1:4.8.1-1ubuntu5
2020-05-10 20:20:04 status unpacked login:armhf 1:4.8.1-1ubuntu5
2020-05-10 20:20:04 install logsave:armhf <none> 1.45.5-2ubuntu1
2020-05-10 20:20:04 status half-installed logsave:armhf 1.45.5-2ubuntu1
2020-05-10 20:20:04 status unpacked logsave:armhf 1.45.5-2ubuntu1
2020-05-10 20:20:04 install lsb-base:all <none> 11.1.0ubuntu2
2020-05-10 20:20:04 status half-installed lsb-base:all 11.1.0ubuntu2
2020-05-10 20:20:04 status unpacked lsb-base:all 11.1.0ubuntu2
2020-05-10 20:20:04 upgrade mawk:armhf 1.3.4.20200120-2 1.3.4.20200120-2
2020-05-10 20:20:04 status half-configured mawk:armhf 1.3.4.20200120-2
2020-05-10 20:20:04 status unpacked mawk:armhf 1.3.4.20200120-2
2020-05-10 20:20:04 status half-installed mawk:armhf 1.3.4.20200120-2
2020-05-10 20:20:04 status unpacked mawk:armhf 1.3.4.20200120-2
2020-05-10 20:20:04 install mount:armhf <none> 2.34-0.1ubuntu9
2020-05-10 20:20:04 status half-installed mount:armhf 2.34-0.1ubuntu9
2020-05-10 20:20:04 status unpacked mount:armhf 2.34-0.1ubuntu9
2020-05-10 20:20:04 install ncurses-base:all <none> 6.2-0ubuntu2
2020-05-10 20:20:04 status half-installed ncurses-base:all 6.2-0ubuntu2
2020-05-10 20:20:04 status unpacked ncurses-base:all 6.2-0ubuntu2
2020-05-10 20:20:04 install ncurses-bin:armhf <none> 6.2-0ubuntu2
2020-05-10 20:20:04 status half-installed ncurses-bin:armhf 6.2-0ubuntu2
2020-05-10 20:20:04 status unpacked ncurses-bin:armhf 6.2-0ubuntu2
